647,ㄅ,ㄅ,u3105,647.png
648,ㄆ,ㄆ,u3106,648.png
649,ㄇ,ㄇ,u3107,649.png
650,ㄉ,ㄉ,u3109,650.png
651,ㄋ,ㄋ,u310b,651.png
652,ㄌ,ㄌ,u310c,652.png
653,ㄍ,ㄍ,u310d,653.png
654,ㄎ,ㄎ,u310e,654.png
655,ㄏ,ㄏ,u310f,655.png
656,ㄒ,ㄒ,u3112,656.png
657,ㄚ,ㄚ,u311a,657.png
658,ㄛ,ㄛ,u311b,658.png
659,ㄞ,ㄞ,u311e,659.png
660,ㄟ,ㄟ,u311f,660.png
661,ㄢ,ㄢ,u3122,661.png
662,ㄤ,ㄤ,u3124,662.png
663,ㄥ,ㄥ,u3125,663.png
664,ㄧ,ㄧ,u3127,664.png
665,ㄨ,ㄨ,u3128,665.png
666,ㆍ,ㆍ,u318d,666.png
667,㈦,㈦,u3226,667.png
668,㊣,㊣,u32a3,668.png
669,㎡,㎡,u33a1,669.png
670,㗎,㗎,u35ce,670.png
671,一,一,u4e00,671.png
672,丁,丁,u4e01,672.png
673,七,七,u4e03,673.png
674,万,万,u4e07,674.png
675,丈,丈,u4e08,675.png
676,三,三,u4e09,676.png
677,上,上,u4e0a,677.png
678,下,下,u4e0b,678.png
679,不,不,u4e0d,679.png
680,与,与,u4e0e,680.png
681,丐,丐,u4e10,681.png
682,丑,丑,u4e11,682.png
683,专,专,u4e13,683.png
684,且,且,u4e14,684.png
685,丕,丕,u4e15,685.png
686,世,世,u4e16,686.png
687,丘,丘,u4e18,687.png
688,丙,丙,u4e19,688.png
689,业,业,u4e1a,689.png
690,丛,丛,u4e1b,690.png
691,东,东,u4e1c,691.png
692,丝,丝,u4e1d,692.png
693,丞,丞,u4e1e,693.png
694,丟,丟,u4e1f,694.png
695,両,両,u4e21,695.png
696,丢,丢,u4e22,696.png
697,两,两,u4e24,697.png
698,严,严,u4e25,698.png
699,並,並,u4e26,699.png
700,丧,丧,u4e27,700.png
701,丨,丨,u4e28,701.png
702,个,个,u4e2a,702.png
703,丫,丫,u4e2b,703.png
704,中,中,u4e2d,704.png
705,丰,丰,u4e30,705.png
706,串,串,u4e32,706.png
707,临,临,u4e34,707.png
708,丶,丶,u4e36,708.png
709,丸,丸,u4e38,709.png
710,丹,丹,u4e39,710.png
711,为,为,u4e3a,711.png
712,主,主,u4e3b,712.png
713,丼,丼,u4e3c,713.png
714,丽,丽,u4e3d,714.png
715,举,举,u4e3e,715.png
716,丿,丿,u4e3f,716.png
717,乂,乂,u4e42,717.png
718,乃,乃,u4e43,718.png
719,久,久,u4e45,719.png
720,么,么,u4e48,720.png
721,义,义,u4e49,721.png
722,之,之,u4e4b,722.png
723,乌,乌,u4e4c,723.png
724,乍,乍,u4e4d,724.png
725,乎,乎,u4e4e,725.png
726,乏,乏,u4e4f,726.png
727,乐,乐,u4e50,727.png
728,乒,乒,u4e52,728.png
729,乓,乓,u4e53,729.png
730,乔,乔,u4e54,730.png
731,乖,乖,u4e56,731.png
732,乗,乗,u4e57,732.png
733,乘,乘,u4e58,733.png
734,乙,乙,u4e59,734.png
735,乜,乜,u4e5c,735.png
736,九,九,u4e5d,736.png
737,乞,乞,u4e5e,737.png
738,也,也,u4e5f,738.png
739,习,习,u4e60,739.png
740,乡,乡,u4e61,740.png
741,书,书,u4e66,741.png
742,乩,乩,u4e69,742.png
743,买,买,u4e70,743.png
744,乱,乱,u4e71,744.png
745,乳,乳,u4e73,745.png
746,乾,乾,u4e7e,746.png
747,亀,亀,u4e80,747.png
748,亂,亂,u4e82,748.png
749,了,了,u4e86,749.png
750,予,予,u4e88,750.png
751,争,争,u4e89,751.png
752,事,事,u4e8b,752.png
753,二,二,u4e8c,753.png
754,于,于,u4e8e,754.png
755,亏,亏,u4e8f,755.png
756,云,云,u4e91,756.png
757,互,互,u4e92,757.png
758,五,五,u4e94,758.png
759,井,井,u4e95,759.png
760,亘,亘,u4e98,760.png
761,亙,亙,u4e99,761.png
762,亚,亚,u4e9a,762.png
763,些,些,u4e9b,763.png
764,亜,亜,u4e9c,764.png
765,亞,亞,u4e9e,765.png
766,亟,亟,u4e9f,766.png
767,亡,亡,u4ea1,767.png
768,亢,亢,u4ea2,768.png
769,交,交,u4ea4,769.png
770,亥,亥,u4ea5,770.png
771,亦,亦,u4ea6,771.png
772,产,产,u4ea7,772.png
773,亨,亨,u4ea8,773.png
774,亩,亩,u4ea9,774.png
775,享,享,u4eab,775.png
776,京,京,u4eac,776.png
777,亭,亭,u4ead,777.png
778,亮,亮,u4eae,778.png
779,亲,亲,u4eb2,779.png
780,亳,亳,u4eb3,780.png
781,亵,亵,u4eb5,781.png
782,人,人,u4eba,782.png
783,亿,亿,u4ebf,783.png
784,什,什,u4ec0,784.png
785,仁,仁,u4ec1,785.png
786,仃,仃,u4ec3,786.png
787,仄,仄,u4ec4,787.png
788,仅,仅,u4ec5,788.png
789,仆,仆,u4ec6,789.png
790,仇,仇,u4ec7,790.png
791,今,今,u4eca,791.png
792,介,介,u4ecb,792.png
793,仍,仍,u4ecd,793.png
794,从,从,u4ece,794.png
795,仏,仏,u4ecf,795.png
796,仑,仑,u4ed1,796.png
797,仓,仓,u4ed3,797.png
798,仔,仔,u4ed4,798.png
799,仕,仕,u4ed5,799.png
800,他,他,u4ed6,800.png
801,仗,仗,u4ed7,801.png
802,付,付,u4ed8,802.png
803,仙,仙,u4ed9,803.png
804,仝,仝,u4edd,804.png
805,仞,仞,u4ede,805.png
806,仟,仟,u4edf,806.png
807,代,代,u4ee3,807.png
808,令,令,u4ee4,808.png
809,以,以,u4ee5,809.png
810,仨,仨,u4ee8,810.png
811,仪,仪,u4eea,811.png
812,们,们,u4eec,812.png
813,仮,仮,u4eee,813.png
814,仰,仰,u4ef0,814.png
815,仲,仲,u4ef2,815.png
816,件,件,u4ef6,816.png
817,价,价,u4ef7,817.png
818,任,任,u4efb,818.png
819,份,份,u4efd,819.png
820,仿,仿,u4eff,820.png
821,企,企,u4f01,821.png
822,伉,伉,u4f09,822.png
823,伊,伊,u4f0a,823.png
824,伍,伍,u4f0d,824.png
825,伎,伎,u4f0e,825.png
826,伏,伏,u4f0f,826.png
827,伐,伐,u4f10,827.png
828,休,休,u4f11,828.png
829,伕,伕,u4f15,829.png
830,众,众,u4f17,830.png
831,优,优,u4f18,831.png
832,伙,伙,u4f19,832.png
833,会,会,u4f1a,833.png
834,伝,伝,u4f1d,834.png
835,伞,伞,u4f1e,835.png
836,伟,伟,u4f1f,836.png
837,传,传,u4f20,837.png
838,伢,伢,u4f22,838.png
839,伤,伤,u4f24,839.png
840,伦,伦,u4f26,840.png
841,伪,伪,u4f2a,841.png
842,伫,伫,u4f2b,842.png
843,伯,伯,u4f2f,843.png
844,估,估,u4f30,844.png
845,伴,伴,u4f34,845.png
846,伶,伶,u4f36,846.png
847,伸,伸,u4f38,847.png
848,伺,伺,u4f3a,848.png
849,似,似,u4f3c,849.png
850,伽,伽,u4f3d,850.png
851,佃,佃,u4f43,851.png
852,但,但,u4f46,852.png
853,佇,佇,u4f47,853.png
854,佈,佈,u4f48,854.png
855,位,位,u4f4d,855.png
856,低,低,u4f4e,856.png
857,住,住,u4f4f,857.png
858,佐,佐,u4f50,858.png
859,佑,佑,u4f51,859.png
860,体,体,u4f53,860.png
861,佔,佔,u4f54,861.png
862,何,何,u4f55,862.png
863,佗,佗,u4f57,863.png
864,佘,佘,u4f58,864.png
865,余,余,u4f59,865.png
866,佚,佚,u4f5a,866.png
867,佛,佛,u4f5b,867.png
868,作,作,u4f5c,868.png
869,佝,佝,u4f5d,869.png
870,佞,佞,u4f5e,870.png
871,佟,佟,u4f5f,871.png
872,你,你,u4f60,872.png
873,佢,佢,u4f62,873.png
874,佣,佣,u4f63,874.png
875,佤,佤,u4f64,875.png
876,佥,佥,u4f65,876.png
877,佩,佩,u4f69,877.png
878,佬,佬,u4f6c,878.png
879,佯,佯,u4f6f,879.png
880,佰,佰,u4f70,880.png
881,佳,佳,u4f73,881.png
882,併,併,u4f75,882.png
883,佶,佶,u4f76,883.png
884,佻,佻,u4f7b,884.png
885,佼,佼,u4f7c,885.png
886,使,使,u4f7f,886.png
887,侃,侃,u4f83,887.png
888,侄,侄,u4f84,888.png
889,來,來,u4f86,889.png
890,侈,侈,u4f88,890.png
891,例,例,u4f8b,891.png
892,侍,侍,u4f8d,892.png
893,侏,侏,u4f8f,893.png
894,侑,侑,u4f91,894.png
895,侖,侖,u4f96,895.png
896,侗,侗,u4f97,896.png
897,供,供,u4f9b,897.png
898,依,依,u4f9d,898.png
899,侠,侠,u4fa0,899.png
900,価,価,u4fa1,900.png
901,侣,侣,u4fa3,901.png
902,侥,侥,u4fa5,902.png
903,侦,侦,u4fa6,903.png
904,侧,侧,u4fa7,904.png
905,侨,侨,u4fa8,905.png
906,侬,侬,u4fac,906.png
907,侮,侮,u4fae,907.png
908,侯,侯,u4faf,908.png
909,侵,侵,u4fb5,909.png
910,侶,侶,u4fb6,910.png
911,侷,侷,u4fb7,911.png
912,便,便,u4fbf,912.png
913,係,係,u4fc2,913.png
914,促,促,u4fc3,914.png
915,俄,俄,u4fc4,915.png
916,俊,俊,u4fca,916.png
917,俎,俎,u4fce,917.png
918,俏,俏,u4fcf,918.png
919,俐,俐,u4fd0,919.png
920,俑,俑,u4fd1,920.png
921,俗,俗,u4fd7,921.png
922,俘,俘,u4fd8,922.png
923,俚,俚,u4fda,923.png
924,保,保,u4fdd,924.png
925,俞,俞,u4fde,925.png
926,俟,俟,u4fdf,926.png
927,俠,俠,u4fe0,927.png
